,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
83,Fort Riley,/cfb/schools/fort-riley/,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,/cfb/schools/fort-warren/,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,/cfb/schools/franklin-marshall/,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.68,-3.65,0,0,
86,Fresno State,/cfb/schools/fresno-state/,1969,2018,50,599,347,251,4,.580,22,10,12,0,.429,-1.77,-5.31,2,11,record adjusted to 348-250-4 by NCAA
87,Furman,/cfb/schools/furman/,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,/cfb/schools/george-washington/,1908,1966,33,298,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,/cfb/schools/georgetown/,1902,1950,36,311,184,110,19,.618,2,0,2,0,.000,2.75,-2.44,1,0,
90,Georgia,/cfb/schools/georgia/,1902,2018,115,1204,792,398,50,.659,54,31,20,3,.606,10.09,4.70,36,13,
91,Georgia Pre-Flight,/cfb/schools/georgia-pre-flight/,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,/cfb/schools/georgia-southern/,2014,2018,5,60,33,27,0,.550,1,1,0,0,1.000,-2.22,-5.30,0,1,
93,Georgia State,/cfb/schools/georgia-state/,2013,2018,6,72,19,53,0,.264,2,1,1,0,.000,-13.65,-5.22,0,0,
94,Georgia Tech,/cfb/schools/georgia-tech/,1902,2018,117,1222,729,479,40,.600,44,25,19,0,.568,8.74,4.54,25,8,record adjusted to 728-479-40 by NCAA
95,Gonzaga,/cfb/schools/gonzaga/,1922,1941,16,140,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,/cfb/schools/grambling-state/,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,/cfb/schools/great-lakes-navy/,1918,1945,5,54,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,/cfb/schools/grinnell/,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.97,-4.74,0,0,
99,Hamilton,/cfb/schools/hamilton/,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,/cfb/schools/hampden-sydney/,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,/cfb/schools/hardin-simmons/,1939,1962,21,212,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,/cfb/schools/harvard/,1875,1981,103,931,631,259,42,.700,1,1,0,0,1.000,4.20,-2.12,0,5,
103,Haskell,/cfb/schools/haskell/,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.95,-2.36,0,0,
104,Haverford,/cfb/schools/haverford/,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
